NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
286.66,2198.4,283.86,2124.7,287.41,2276.8,278.9,2247.3,293.13,2293.2,269.09,2291.2,0
269.38,2267.2,262.5,2264,274.29,2299.6,265.22,2266.3,271.5,2323.3,256.16,2295.2,0
275.63,2157.5,261.43,2065,275.63,2157.5,261.43,2065,275.63,2157.5,261.43,2065,0
285.73,2204.4,278.76,2231.1,285.73,2204.4,278.76,2231.1,285.73,2204.4,278.76,2231.1,0
253.6,2269.9,289.65,2260.5,253.6,2269.9,289.65,2260.5,253.6,2269.9,289.65,2260.5,0
236.55,2261.9,237.14,2266.5,236.55,2261.9,237.14,2266.5,236.55,2261.9,237.14,2266.5,0
265.84,2256.5,245.25,2274.2,265.84,2256.5,245.25,2274.2,265.84,2256.5,245.25,2274.2,0
256.23,2355.5,259.44,2307.3,256.23,2355.5,259.44,2307.3,256.23,2355.5,259.44,2307.3,0
262.67,2285.9,237.83,2292.3,262.67,2285.9,237.83,2292.3,262.67,2285.9,237.83,2292.3,0
249.14,2242,256.49,1198.1,260.98,2258.2,242.73,2284.5,231.3,2215.3,254.38,2260.7,0
252.98,2246.1,237.92,1226.6,257.39,2263.3,258.95,2252.5,225.56,1323.6,247.45,2233.4,0
269.19,2175,263.29,2220.2,269.19,2175,263.29,2220.2,269.19,2175,263.29,2220.2,0
262.32,2213,235.12,2215.7,262.32,2213,235.12,2215.7,262.32,2213,235.12,2215.7,0
267.97,2163.3,254.07,2156.6,267.97,2163.3,254.07,2156.6,267.97,2163.3,254.07,2156.6,0
253.88,2193.9,226.91,2227,253.88,2193.9,226.91,2227,253.88,2193.9,226.91,2227,0
277.58,2170.6,289.3,2133.1,277.58,2170.6,289.3,2133.1,277.58,2170.6,289.3,2133.1,0
238,2317.4,251.21,2304.9,238,2317.4,251.21,2304.9,238,2317.4,251.21,2304.9,0
